"ANO_CMPT","MES_CMPT","CNES","Name_CNES","i_taxa_de_cesarea","i_taxa_ocupacao_H","i_taxa_ocupacao_UTI","i_tempo_medio_permanencia_cirurgica","i_tempo_medio_permanencia_clinica","i_tempo_medio_permanencia_hospitalar","i_giro_de_leito","num_dias_perman_hosp","num_motivos_saida_hosp","num_dias_perman_clinica","num_motivos_saida_clinica","num_dias_perman_cirurgica","num_motivos_saida_cirurgica","num_partos_cesareos","num_partos_total","N_dias_em_UTI","N_CIRURGIAS_APRE","N_Internacoes_H","N_leitos_UTI","N_leitos_hosp_sem_leitos_hosp_dia"
"2020","01","0000396","HC da Univ. Federal de Pernambuco (HC-UFPE)",62.3188405797101,0.557333333333333,0.936666666666667,3.49865229110512,7.97085610200364,6.26552462526767,2.66857142857143,5852,934,4376,549,1298,371,86,138,562,536,1103,20,350
"2020","01","0002534","HU da Universidade Federal de Sergipe (HU-UFS)",NA,0.617528735632184,0.906666666666667,2.8361581920904,11.5985915492958,6.73667711598746,2.75,2149,319,1647,142,502,177,0,0,136,227,326,5,116
"2020","01","0003816","HU Professor Edgard Santos (Hupes-UFBA)",NA,0.760748792270531,0.720238095238095,3.37735849056604,17.375415282392,10.5334448160535,2.16666666666667,6299,598,5230,301,895,265,0,0,605,382,719,28,276
"2020","01","0004731","Maternidade Climério de Oliveira (MCO-UFBA)",47.887323943662,0.491414141414141,0.583333333333333,3.27397260273973,8.53488372093023,6.11949685534591,2.40909090909091,973,159,734,86,239,73,34,71,175,81,183,10,66
"2020","01","0009709","HU Maria Aparecida Pedrossian (Humap-UFMS)",29.5833333333333,1.01256281407035,0.788888888888889,5.80952380952381,7.25150905432596,6.59214830970556,4.60804020100502,6045,917,3604,497,2440,420,71,240,710,519,982,30,199
"2020","01","0010510","HU da Universidade de Brasília (HUB-UnB)",40.625,0.355501618122977,0.271264367816092,2.39043824701195,6.68534482758621,4.48367346938775,2.37864077669903,2197,490,1551,232,600,251,26,64,236,571,535,29,206
"2020","01","0012505","HU Antônio Pedro (HUAP-UFF)",70.4545454545455,0.783048433048433,0.792156862745098,8.375,8.0843023255814,8.25375375375375,2.84615384615385,5497,666,2781,344,2613,312,31,44,808,437,730,34,234
"2020","01","0027049","HC da Univ. Federal de Minas Gerais (HC-UFMG)",41.025641025641,0.943831417624521,0.743881856540084,4.97112462006079,8.89604519774011,7.3534328358209,3.85057471264368,12317,1675,7873,885,3271,658,80,195,1763,920,1961,79,435
"2020","01","2006197","HU Professor Alberto Antunes (HUPAA-UFAL)",62.5615763546798,0.593682795698925,0.547407407407407,4.12211221122112,9.1536231884058,6.79538461538462,2.62096774193548,4417,650,3158,345,1249,303,127,203,739,463,758,45,248
"2020","01","2017644","HU Getúlio Vargas (HUGV-UFAM)",NA,0.369392033542977,0.525,4.24267782426778,7.2621359223301,5.15204678362573,2.15094339622642,1762,342,748,103,1014,239,0,0,189,318,370,12,159
"2020","01","2146355","Hospital de Clínicas de Uberlândia (HC-UFU)",64.0776699029126,0.850592885375494,0.77156862745098,5.73894736842105,8.82060606060606,7.20133853876185,3.54347826086957,12912,1793,7277,825,5452,950,132,206,1574,2493,1966,68,506
"2020","01","2206595","HC da Univ. Feder. do Triângulo Mineiro (HC-UFTM)",42.1052631578947,0.623310810810811,0.5725,6.32853717026379,8.24571428571429,7.21642764015645,2.59121621621622,5535,767,2886,350,2639,417,56,133,687,633,855,40,296
"2020","01","2218798","HU da Univ. Federal de Juiz de Fora (HU-UFJF)",NA,0.714841849148419,1.2037037037037,5.45890410958904,14.953125,10.2013888888889,2.1021897810219,2938,288,1914,128,797,146,0,0,325,602,371,9,137
